,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
0,Aaron Judge,NYY,149,644,527,160,82,26,1,52,107,120,107,7,157,6,5,0,,11,2,0.30431,0.16614906832298137,0.24378881987577639,0.682759,0.423652,0.651177,0.446788,1.07483,0.346867,3.77525,0.336378,-1.32049,-0.106314,146.018,69.9247,193.448,-1.42681,4.51945,69.50282764434814,-2.680551052093506,9.10456,1.9700000286102293,,,,,,,1293.2,8.67919463,1293.2,8.67919463,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450,592450.0
1,Bobby Witt Jr.,KC,157,679,615,186,109,38,7,32,108,103,52,4,109,7,5,0,,35,11,0.302308,0.07658321060382917,0.16053019145802652,0.475455,0.360557,0.543732,0.382873,0.904289,0.241425,6.94817,0.32129,2.12478,1.65443,118.718,38.4892,145.274,3.77921,9.69313,40.01084589958191,16.968125820159912,8.22071,3.2100000381469727,,,,,,,1090.2,6.943949044,1090.2,6.943949044,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951,677951.0
2,Juan Soto,NYM,159,686,557,158,91,27,2,39,106,102,121,6,119,4,5,0,,22,8,0.284685,0.17638483965014579,0.17346938775510204,1.01376,0.41248,0.547678,0.408472,0.960158,0.262993,4.56096,0.296904,-0.72028,-0.125942,134.2,53.1438,168.702,-0.846223,-2.32464,55.01233595609665,-9.8746440410614,6.95327,4.760000228881836,,,,,,,1178.5,7.411949685,1178.5,7.411949685,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742,665742.0
3,Shohei Ohtani,LAD,157,679,582,168,84,29,6,50,116,120,88,6,164,5,5,0,,25,7,0.288615,0.12960235640648013,0.24153166421207659,0.534223,0.383518,0.614842,0.416603,0.99836,0.326227,6.47552,0.317245,0.0862368,0.876483,137.313,57.084,171.48,0.962719,0.0,58.48699605464935,-16.975000381469727,6.55849,1.059999942779541,,,,,,,1254.0,7.987261146,1254.0,7.987261146,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271,660271.0
4,Gunnar Henderson,BAL,156,672,590,166,97,34,6,28,104,92,71,3,143,6,5,0,,24,5,0.281191,0.1056547619047619,0.21279761904761904,0.495972,0.361501,0.503591,0.369604,0.865092,0.2224,6.58639,0.325266,1.60674,1.5792,110.255,30.8533,140.595,3.18594,-2.32845,35.33828139305115,4.871553897857666,6.48037,14.0600004196167,,,,,,,998.2,6.398717948,998.2,6.398717948,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002,683002.0
5,Cal Raleigh,SEA,159,637,554,134,72,25,1,37,82,95,73,3,167,6,4,0,,9,3,0.2425,0.11459968602825746,0.2621664050235479,0.439534,0.335025,0.488543,0.352001,0.823569,0.246044,3.45678,0.275546,-1.68041,-0.429225,95.4687,20.155,133.556,-2.10964,10.586,23.099125862121586,17.735992908477783,6.4225,19.149999618530277,,,,,,,868.1,5.459748427,868.1,5.459748427,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728,663728.0
6,Julio Rodriguez,SEA,159,686,621,175,112,32,3,29,91,93,51,4,148,10,5,0,,29,7,0.282528,0.07434402332361516,0.21574344023323616,0.345232,0.343995,0.484183,0.354488,0.828178,0.201654,5.71093,0.325751,0.640145,1.83443,104.133,23.0766,135.269,2.47458,2.45065,30.99037790298462,4.700649738311768,6.06734,10.59000015258789,,,,,,,960.0,6.037735849,960.0,6.037735849,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594,677594.0
7,Fernando Tatis Jr.,SD,156,672,590,161,98,31,1,31,89,94,71,4,133,6,5,0,,26,6,0.272696,0.1056547619047619,0.19791666666666666,0.533454,0.354243,0.48599,0.36046,0.840233,0.213294,4.93145,0.301838,0.66621,1.63295,105.266,25.8639,136.25,2.29916,10.7689,31.170947074890137,3.3688998222351074,5.82132,15.239999771118164,,,,,,,962.2,6.167948717,962.2,6.167948717,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487,665487.0
8,Ronald Acuna Jr.,ATL,151,651,553,161,99,28,2,32,95,93,85,4,133,8,5,0,,25,6,0.290712,0.130568356374808,0.20430107526881722,0.637334,0.390049,0.52122,0.389801,0.911269,0.230508,5.1184,0.3281,1.37275,1.42196,117.485,40.5641,152.141,2.79471,-1.24872,43.02476954460144,-9.123723030090332,5.68448,7.760000228881836,,,,,,,1051.7,6.964900662,1051.7,6.964900662,,,,,,,,,,,,,,,,,,,Ronald Acuna Jr.,18401,660670,660670.0
9,Alejandro Kirk,TOR,123,488,431,119,82,21,0,15,59,57,49,2,57,4,3,1,,1,0,0.277186,0.10040983606557377,0.1168032786885246,0.862248,0.353418,0.435352,0.343325,0.78877,0.158165,2.38084,0.287504,-1.79917,-0.763297,69.597,11.9833,121.651,-2.56247,16.0742,9.88021206855774,24.9742431640625,5.2831,153.97000122070312,,,,,,,598.2,4.863414634,598.2,4.863414634,,,,,,,,,,,,,,,,,,,Alejandro Kirk,22581,672386,672386.0
