,Hitter,Pos,Team,Sal,Opp,Park,OppSP,LU,DKPts,FDPts,Floor,Ceil,Value,PA,R,HR,RBI,SB,SO,BB,HBP,1B,2B,3B,Date,MainSlate,Ownership,LastUpdate,Confirmed LU,TopPlayScore
0,Trea Turner,SS,PHI,5900.0,MIA,MIA,Cal Quantrill,1,8.6,11.139999999999999,1.18,22.52,1.58,4.56,0.65,0.12,0.48,0.18,0.74,0.26,0.04,0.82,0.22,0.02,2025-06-17,None,22.0,17:42,Y,
1,Kyle Schwarber,OF,PHI,5600.0,MIA,MIA,Cal Quantrill,2,8.520000000000001,11.607000000000001,1.08,19.72,1.65,4.37,0.66,0.22,0.57,0.05,1.12,0.63,0.05,0.49,0.16,0.01,2025-06-17,None,25.0,17:42,Y,
2,Alec Bohm,1B/3B,PHI,4000.0,MIA,MIA,Cal Quantrill,3,7.11,9.236,1.0,20.31,1.6,4.35,0.48,0.09,0.52,0.04,0.59,0.22,0.03,0.77,0.22,0.02,2025-06-17,None,36.0,17:42,Y,
3,Max Kepler,OF,PHI,3400.0,MIA,MIA,Cal Quantrill,4,7.35,9.847,0.42,18.01,2.02,4.24,0.51,0.14,0.59,0.02,0.82,0.31,0.05,0.58,0.21,0.03,2025-06-17,None,20.0,17:42,Y,
4,J.T. Realmuto,C,PHI,3600.0,MIA,MIA,Cal Quantrill,5,7.049999999999999,9.417000000000002,0.48,17.4,1.94,4.16,0.51,0.12,0.51,0.05,0.99,0.24,0.08,0.64,0.2,0.02,2025-06-17,None,30.0,17:42,Y,
5,Bryson Stott,2B,PHI,4200.0,MIA,MIA,Cal Quantrill,6,7.0600000000000005,9.177,0.39,18.51,1.61,4.1,0.46,0.08,0.47,0.15,0.61,0.3,0.02,0.69,0.18,0.01,2025-06-17,None,24.0,17:42,Y,
6,Otto Kemp,3B,PHI,2900.0,MIA,MIA,Cal Quantrill,7,6.390000000000001,9.021,0.31,16.41,1.93,3.98,0.43,0.09,0.47,0.1,0.96,0.25,0.24,0.62,0.15,0.01,2025-06-17,None,24.0,17:42,Y,
7,Brandon Marsh,OF,PHI,2800.0,MIA,MIA,Cal Quantrill,8,7.149999999999999,9.459000000000001,0.14,17.9,2.32,3.84,0.52,0.09,0.47,0.11,1.06,0.41,0.02,0.57,0.19,0.03,2025-06-17,None,12.0,17:42,Y,
8,Johan Rojas,OF,PHI,3000.0,MIA,MIA,Cal Quantrill,9,6.1000000000000005,7.891000000000001,0.33,17.45,1.58,3.64,0.43,0.03,0.37,0.2,0.73,0.14,0.05,0.66,0.14,0.03,2025-06-17,None,0.0,17:42,Y,
9,Xavier Edwards,2B/SS,MIA,4500.0,PHI,MIA,Jesus Luzardo,1,8.100000000000001,10.274999999999999,1.07,19.32,1.98,4.69,0.55,0.04,0.41,0.24,0.88,0.35,0.01,0.93,0.17,0.03,2025-06-17,None,10.0,17:42,Y,
10,Agustin Ramirez,C,MIA,3800.0,PHI,MIA,Jesus Luzardo,2,7.930000000000001,10.418000000000001,0.52,18.66,2.32,4.57,0.54,0.17,0.46,0.11,0.89,0.32,0.04,0.57,0.25,0.01,2025-06-17,None,19.0,17:42,Y,
11,Otto Lopez,SS,MIA,3600.0,PHI,MIA,Jesus Luzardo,3,7.449999999999999,9.637,0.63,16.97,1.94,4.47,0.46,0.11,0.49,0.11,0.88,0.21,0.04,0.74,0.22,0.02,2025-06-17,None,10.0,17:42,Y,
12,Heriberto Hernandez,OF,MIA,2800.0,PHI,MIA,Jesus Luzardo,4,5.720000000000001,7.699,0.0,14.7,1.49,4.37,0.37,0.07,0.43,0.07,1.55,0.32,0.07,0.55,0.14,0.01,2025-06-17,None,3.0,17:42,Y,
13,Eric Wagaman,1B,MIA,3500.0,PHI,MIA,Jesus Luzardo,5,6.53,8.429,0.31,17.53,1.54,4.26,0.42,0.11,0.43,0.06,0.94,0.19,0.02,0.63,0.2,0.02,2025-06-17,None,14.0,17:42,Y,
14,Connor Norby,3B,MIA,4200.0,PHI,MIA,Jesus Luzardo,6,6.08,8.018,0.16,17.16,1.21,4.15,0.39,0.13,0.4,0.06,1.47,0.2,0.05,0.49,0.19,0.01,2025-06-17,None,6.0,17:42,Y,
15,Nick Fortes,C,MIA,2300.0,PHI,MIA,Jesus Luzardo,7,4.999999999999999,6.562,0.08,14.96,1.52,4.03,0.31,0.05,0.34,0.01,0.59,0.15,0.08,0.64,0.17,0.01,2025-06-17,None,3.0,17:42,Y,
16,Kyle Stowers,OF,MIA,4700.0,PHI,MIA,Jesus Luzardo,8,5.3,7.054,0.06,13.93,0.76,3.89,0.37,0.09,0.34,0.03,1.54,0.23,0.06,0.48,0.17,0.01,2025-06-17,None,0.0,17:42,Y,
17,Javier Sanoja,OF,MIA,2600.0,PHI,MIA,Jesus Luzardo,9,5.71,7.388,0.32,15.31,1.6,3.69,0.39,0.04,0.34,0.09,0.63,0.3,0.01,0.59,0.19,0.01,2025-06-17,None,4.0,17:42,Y,
18,Oneil Cruz,OF,PIT,6000.0,DET,DET,Casey Mize,1,10.420000000000002,13.702,0.8,22.97,2.3,4.52,0.81,0.21,0.56,0.24,1.41,0.42,0.03,0.63,0.25,0.05,2025-06-17,None,25.0,17:42,Y,
19,Andrew McCutchen,OF,PIT,3900.0,DET,DET,Casey Mize,2,7.23,9.757,0.7,19.01,1.71,4.2,0.56,0.15,0.51,0.03,1.15,0.42,0.05,0.54,0.18,0.01,2025-06-17,None,13.0,17:42,Y,
20,Bryan Reynolds,OF,PIT,4000.0,DET,DET,Casey Mize,3,8.24,11.077000000000002,0.61,18.63,2.16,4.29,0.61,0.16,0.61,0.07,1.08,0.36,0.07,0.63,0.2,0.03,2025-06-17,None,17.0,17:42,Y,
21,Spencer Horwitz,1B,PIT,3000.0,DET,DET,Casey Mize,4,7.670000000000001,10.322,0.39,14.94,2.48,4.22,0.51,0.13,0.64,0.03,0.9,0.4,0.06,0.68,0.2,0.01,2025-06-17,None,16.0,17:42,Y,
22,Nick Gonzales,2B,PIT,3800.0,DET,DET,Casey Mize,5,6.960000000000001,9.269,0.56,17.15,1.73,4.1,0.47,0.12,0.53,0.05,0.93,0.16,0.09,0.67,0.22,0.01,2025-06-17,None,12.0,17:42,Y,
23,Joey Bart,C,PIT,3300.0,DET,DET,Casey Mize,6,6.74,9.066999999999998,0.32,15.02,1.93,4.0,0.46,0.14,0.49,0.02,1.05,0.3,0.09,0.62,0.16,0.01,2025-06-17,None,6.0,17:42,Y,
