,Team,Player,SAVID,Hand,player_name,pitcher,PitchesThrown,PA_flag,IsStrikeout,IsWalk,IsSwStr,InZone,K%,BB%,SwStr%,Zone%,launch_speed,launch_angle,estimated_woba_using_speedangle
0,BAL,Bryan Baker,641329,R,Bryan Baker,641329,571,139.0,38,12,75,301,0.2733812949640288,0.08633093525179857,0.13134851138353765,0.5271453590192644,27.9070796460177,9.519911504424778,0.2866355140186916
1,BAL,Cionel Perez,672335,L,Cionel Perez,672335,1140,307.0,60,37,124,552,0.19543973941368079,0.12052117263843648,0.10877192982456141,0.4842105263157895,27.413138324243928,2.431829449677739,0.29553078125
2,BAL,Felix Bautista,642585,R,Felix Bautista,642585,152,38.0,11,6,24,63,0.2894736842105263,0.15789473684210525,0.15789473684210525,0.4144736842105263,22.102894736842103,7.273684210526316,0.22399267399267397
3,BAL,Gregory Soto,642397,L,Gregory Soto,642397,1162,293.0,77,29,166,570,0.2627986348122867,0.09897610921501707,0.14285714285714285,0.4905335628227194,24.767387218045112,3.68609022556391,0.290724228200371
4,BAL,Keegan Akin,669211,L,Keegan Akin,669211,1496,375.0,114,26,206,793,0.304,0.06933333333333333,0.13770053475935828,0.5300802139037433,26.756827515400413,7.7351129363449695,0.2763046501035197
5,BAL,Matt Bowman,621199,R,Matt Bowman,621199,755,196.0,33,15,62,374,0.1683673469387755,0.07653061224489796,0.08211920529801324,0.495364238410596,28.460620525059667,4.749403341288783,0.336086576744186
6,BAL,Scott Blewett,656240,R,Scott Blewett,656240,539,144.0,33,10,81,258,0.22916666666666666,0.06944444444444445,0.150278293135436,0.47866419294990725,27.975695732838588,4.37847866419295,0.27734963888888886
7,BAL,Seranthony Dominguez,622554,R,Seranthony Dominguez,622554,1229,293.0,79,28,152,604,0.2696245733788396,0.09556313993174062,0.12367778681855167,0.49145646867371845,25.936877394636014,6.407567049808429,0.30888091193737766
8,BAL,Yennier Cano,666974,R,Yennier Cano,666974,1142,283.0,73,24,152,520,0.2579505300353357,0.08480565371024736,0.1330998248686515,0.4553415061295972,27.190690134321443,-0.729967577582214,0.27919888235294116
9,CIN,Alexis Diaz,664747,R,Alexis Diaz,664747,1108,274.0,58,35,130,538,0.2116788321167883,0.12773722627737227,0.11732851985559567,0.4855595667870036,24.838634361233478,6.695594713656388,0.29620669272727274
10,CIN,Brent Suter,608718,L,Brent Suter,608718,1229,324.0,56,13,118,621,0.1728395061728395,0.040123456790123455,0.09601301871440195,0.5052888527257934,27.541009329940625,5.536895674300254,0.29590436378466556
11,CIN,Emilio Pagan,641941,R,Emilio Pagan,641941,776,207.0,57,13,122,425,0.2753623188405797,0.06280193236714976,0.15721649484536082,0.5476804123711341,30.952259118127383,10.247142079477408,0.3024067085953878
12,CIN,Ian Gibaut,664139,R,Ian Gibaut,664139,221,61.0,12,5,18,120,0.19672131147540983,0.08196721311475409,0.08144796380090498,0.5429864253393665,29.262717770034843,8.49198606271777,0.30352432432432436
13,CIN,Scott Barlow,605130,R,Scott Barlow,605130,1215,290.0,78,37,174,515,0.2689655172413793,0.12758620689655173,0.14320987654320988,0.42386831275720166,22.14995854063018,2.7699004975124377,0.3036304509466437
14,CIN,Taylor Rogers,573124,L,Taylor Rogers,573124,1260,292.0,72,27,127,669,0.2465753424657534,0.09246575342465753,0.1007936507936508,0.530952380952381,24.182187201528176,4.502387774594078,0.285474292
15,CIN,Tony Santillan,663574,R,Tony Santillan,663574,717,179.0,57,13,99,381,0.31843575418994413,0.07262569832402235,0.13807531380753138,0.5313807531380753,27.777577319587632,8.893041237113403,0.30539795918367346
16,NYM,A.J. Minter,621345,L,A.J. Minter,621345,707,176.0,49,14,103,355,0.2784090909090909,0.07954545454545454,0.1456859971711457,0.5021216407355021,26.011701526286036,7.381006218202375,0.28313790046296294
